"dv","term","outcome_level","estimate","conf.low","conf.high","p.value","sig"
"Fairness of income distribution","univ_educ_bin","0",0.013,0.003,0.023,0.01,"*"
"Fairness of income distribution","univ_educ_bin","0.33",0.036,0.009,0.064,0.01,"*"
"Fairness of income distribution","univ_educ_bin","0.66",-0.022,-0.039,-0.005,0.01,"*"
"Fairness of income distribution","univ_educ_bin","1",-0.027,-0.047,-0.006,0.01,"*"
"Fairness of income distribution","vote_PCC_bin","0",-0.014,-0.026,-0.002,0.024,"*"
"Fairness of income distribution","vote_PCC_bin","0.33",-0.043,-0.083,-0.003,0.034,"*"
"Fairness of income distribution","vote_PCC_bin","0.66",0.025,0.003,0.046,0.024,"*"
"Fairness of income distribution","vote_PCC_bin","1",0.033,0.002,0.063,0.038,"*"
"Fairness of income distribution","vote_PLC_bin","0",-0.004,-0.016,0.008,0.524,""
"Fairness of income distribution","vote_PLC_bin","0.33",-0.011,-0.044,0.022,0.521,""
"Fairness of income distribution","vote_PLC_bin","0.66",0.007,-0.013,0.026,0.518,""
"Fairness of income distribution","vote_PLC_bin","1",0.008,-0.017,0.033,0.525,""
"Trust not to cheat system","alberta_bin","0",-0.007,-0.02,0.007,0.344,""
"Trust not to cheat system","alberta_bin","0.33",-0.017,-0.052,0.019,0.355,""
"Trust not to cheat system","alberta_bin","0.66",0.009,-0.009,0.026,0.335,""
"Trust not to cheat system","alberta_bin","1",0.015,-0.017,0.046,0.361,""
"Trust not to cheat system","employ_fulltime_bin","0",0.013,0.001,0.025,0.027,"*"
"Trust not to cheat system","employ_fulltime_bin","0.33",0.032,0.004,0.06,0.026,"*"
"Trust not to cheat system","employ_fulltime_bin","0.66",-0.017,-0.033,-0.002,0.03,"*"
"Trust not to cheat system","employ_fulltime_bin","1",-0.027,-0.051,-0.004,0.025,"*"
"Trust not to cheat system","ideo_define_QC_first_bin","0",-0.015,-0.033,0.003,0.112,""
"Trust not to cheat system","ideo_define_QC_first_bin","0.33",-0.04,-0.093,0.013,0.142,""
"Trust not to cheat system","ideo_define_QC_first_bin","0.66",0.018,-0.002,0.038,0.076,"."
"Trust not to cheat system","ideo_define_QC_first_bin","1",0.036,-0.015,0.088,0.165,""
"Trust not to cheat system","ideo_interest_politics_num","0",-0.03,-0.05,-0.01,0.004,"**"
"Trust not to cheat system","ideo_interest_politics_num","0.33",-0.073,-0.12,-0.025,0.003,"**"
"Trust not to cheat system","ideo_interest_politics_num","0.66",0.039,0.013,0.065,0.003,"**"
"Trust not to cheat system","ideo_interest_politics_num","1",0.063,0.022,0.105,0.003,"**"
"Trust not to cheat system","ideo_right_num","0",0.118,0.087,0.15,0,"***"
"Trust not to cheat system","ideo_right_num","0.33",0.289,0.226,0.352,0,"***"
"Trust not to cheat system","ideo_right_num","0.66",-0.154,-0.192,-0.117,0,"***"
"Trust not to cheat system","ideo_right_num","1",-0.253,-0.311,-0.195,0,"***"
"Trust not to cheat system","incomeHigh_bin","0",0.017,0.001,0.034,0.033,"*"
"Trust not to cheat system","incomeHigh_bin","0.33",0.04,0.006,0.073,0.02,"*"
"Trust not to cheat system","incomeHigh_bin","0.66",-0.024,-0.046,-0.001,0.038,"*"
"Trust not to cheat system","incomeHigh_bin","1",-0.033,-0.06,-0.006,0.016,"*"
"Trust not to cheat system","quebec_bin","0",0.021,-0.006,0.048,0.132,""
"Trust not to cheat system","quebec_bin","0.33",0.047,-0.009,0.103,0.1,""
"Trust not to cheat system","quebec_bin","0.66",-0.028,-0.065,0.009,0.137,""
"Trust not to cheat system","quebec_bin","1",-0.04,-0.086,0.006,0.091,"."
"Trust not to cheat system","region_eastcoast_bin","0",0.004,-0.011,0.018,0.611,""
"Trust not to cheat system","region_eastcoast_bin","0.33",0.009,-0.026,0.044,0.605,""
"Trust not to cheat system","region_eastcoast_bin","0.66",-0.005,-0.024,0.014,0.613,""
"Trust not to cheat system","region_eastcoast_bin","1",-0.008,-0.038,0.022,0.603,""
"Trust not to cheat system","ses_age","0",0,-0.001,0,0.05,"."
"Trust not to cheat system","ses_age","0.33",-0.001,-0.002,0,0.047,"*"
"Trust not to cheat system","ses_age","0.66",0,0,0.001,0.048,"*"
"Trust not to cheat system","ses_age","1",0.001,0,0.001,0.048,"*"
"Trust not to cheat system","ses_citizenYes_bin","0",0.008,-0.005,0.022,0.232,""
"Trust not to cheat system","ses_citizenYes_bin","0.33",0.021,-0.015,0.056,0.25,""
"Trust not to cheat system","ses_citizenYes_bin","0.66",-0.01,-0.027,0.006,0.216,""
"Trust not to cheat system","ses_citizenYes_bin","1",-0.019,-0.051,0.014,0.261,""
"Trust not to cheat system","ses_french_bin","0",0.006,-0.017,0.028,0.614,""
"Trust not to cheat system","ses_french_bin","0.33",0.014,-0.039,0.067,0.607,""
"Trust not to cheat system","ses_french_bin","0.66",-0.008,-0.038,0.023,0.619,""
"Trust not to cheat system","ses_french_bin","1",-0.012,-0.057,0.033,0.603,""
"Trust not to cheat system","ses_male_bin","0",0.009,-0.002,0.019,0.107,""
"Trust not to cheat system","ses_male_bin","0.33",0.021,-0.004,0.047,0.105,""
"Trust not to cheat system","ses_male_bin","0.66",-0.011,-0.025,0.002,0.105,""
"Trust not to cheat system","ses_male_bin","1",-0.019,-0.041,0.004,0.106,""
"Trust not to cheat system","trust_social_bin","0",-0.054,-0.065,-0.042,0,"***"
"Trust not to cheat system","trust_social_bin","0.33",-0.148,-0.176,-0.12,0,"***"
"Trust not to cheat system","trust_social_bin","0.66",0.08,0.062,0.097,0,"***"
"Trust not to cheat system","trust_social_bin","1",0.122,0.099,0.145,0,"***"
"Trust not to cheat system","univ_educ_bin","0",-0.006,-0.016,0.005,0.304,""
"Trust not to cheat system","univ_educ_bin","0.33",-0.014,-0.04,0.013,0.305,""
"Trust not to cheat system","univ_educ_bin","0.66",0.007,-0.007,0.022,0.308,""
"Trust not to cheat system","univ_educ_bin","1",0.012,-0.011,0.035,0.303,""
"Trust not to cheat system","vote_PCC_bin","0",0.009,-0.007,0.025,0.265,""
"Trust not to cheat system","vote_PCC_bin","0.33",0.022,-0.016,0.059,0.259,""
"Trust not to cheat system","vote_PCC_bin","0.66",-0.012,-0.034,0.01,0.28,""
"Trust not to cheat system","vote_PCC_bin","1",-0.018,-0.05,0.013,0.247,""
"Trust not to cheat system","vote_PLC_bin","0",-0.008,-0.021,0.004,0.204,""
"Trust not to cheat system","vote_PLC_bin","0.33",-0.021,-0.054,0.012,0.215,""
"Trust not to cheat system","vote_PLC_bin","0.66",0.011,-0.006,0.028,0.213,""
"Trust not to cheat system","vote_PLC_bin","1",0.018,-0.01,0.046,0.21,""
"Violating outcomes (Poor)","alberta_bin","0",0.014,-0.033,0.062,0.553,""
"Violating outcomes (Poor)","alberta_bin","0.33",-0.006,-0.025,0.014,0.566,""
"Violating outcomes (Poor)","alberta_bin","0.66",-0.008,-0.034,0.018,0.545,""
"Violating outcomes (Poor)","alberta_bin","1",-0.001,-0.003,0.002,0.547,""
"Violating outcomes (Poor)","employ_fulltime_bin","0",-0.035,-0.072,0.002,0.062,"."
"Violating outcomes (Poor)","employ_fulltime_bin","0.33",0.013,-0.001,0.027,0.062,"."
"Violating outcomes (Poor)","employ_fulltime_bin","0.66",0.02,-0.001,0.041,0.065,"."
"Violating outcomes (Poor)","employ_fulltime_bin","1",0.002,0,0.004,0.083,"."
"Violating outcomes (Poor)","ideo_define_QC_first_bin","0",-0.012,-0.08,0.055,0.722,""
"Violating outcomes (Poor)","ideo_define_QC_first_bin","0.33",0.004,-0.019,0.027,0.707,""
"Violating outcomes (Poor)","ideo_define_QC_first_bin","0.66",0.007,-0.033,0.048,0.73,""
"Violating outcomes (Poor)","ideo_define_QC_first_bin","1",0.001,-0.003,0.005,0.733,""
"Violating outcomes (Poor)","ideo_interest_politics_num","0",0.159,0.096,0.222,0,"***"
"Violating outcomes (Poor)","ideo_interest_politics_num","0.33",-0.06,-0.086,-0.034,0,"***"
"Violating outcomes (Poor)","ideo_interest_politics_num","0.66",-0.09,-0.126,-0.053,0,"***"
"Violating outcomes (Poor)","ideo_interest_politics_num","1",-0.009,-0.014,-0.004,0.001,"**"
"Violating outcomes (Poor)","ideo_right_num","0",-0.294,-0.379,-0.209,0,"***"
"Violating outcomes (Poor)","ideo_right_num","0.33",0.111,0.073,0.149,0,"***"
"Violating outcomes (Poor)","ideo_right_num","0.66",0.166,0.115,0.217,0,"***"
"Violating outcomes (Poor)","ideo_right_num","1",0.017,0.008,0.025,0,"***"
"Violating outcomes (Poor)","incomeHigh_bin","0",-0.011,-0.055,0.034,0.63,""
"Violating outcomes (Poor)","incomeHigh_bin","0.33",0.004,-0.012,0.02,0.617,""
"Violating outcomes (Poor)","incomeHigh_bin","0.66",0.006,-0.02,0.033,0.637,""
"Violating outcomes (Poor)","incomeHigh_bin","1",0.001,-0.002,0.003,0.64,""
"Violating outcomes (Poor)","quebec_bin","0",0.056,-0.026,0.137,0.181,""
"Violating outcomes (Poor)","quebec_bin","0.33",-0.024,-0.062,0.015,0.225,""
"Violating outcomes (Poor)","quebec_bin","0.66",-0.029,-0.069,0.011,0.151,""
"Violating outcomes (Poor)","quebec_bin","1",-0.003,-0.007,0.001,0.163,""
"Violating outcomes (Poor)","region_eastcoast_bin","0",0.025,-0.022,0.073,0.295,""
"Violating outcomes (Poor)","region_eastcoast_bin","0.33",-0.01,-0.03,0.01,0.321,""
"Violating outcomes (Poor)","region_eastcoast_bin","0.66",-0.014,-0.039,0.011,0.279,""
"Violating outcomes (Poor)","region_eastcoast_bin","1",-0.001,-0.004,0.001,0.286,""
"Violating outcomes (Poor)","ses_age","0",0,-0.001,0.002,0.438,""
"Violating outcomes (Poor)","ses_age","0.33",0,-0.001,0,0.439,""
"Violating outcomes (Poor)","ses_age","0.66",0,-0.001,0,0.439,""
"Violating outcomes (Poor)","ses_age","1",0,0,0,0.444,""
"Violating outcomes (Poor)","ses_citizenYes_bin","0",-0.068,-0.12,-0.016,0.011,"*"
"Violating outcomes (Poor)","ses_citizenYes_bin","0.33",0.031,0.003,0.058,0.028,"*"
"Violating outcomes (Poor)","ses_citizenYes_bin","0.66",0.034,0.011,0.057,0.004,"**"
"Violating outcomes (Poor)","ses_citizenYes_bin","1",0.003,0.001,0.006,0.011,"*"
"Violating outcomes (Poor)","ses_french_bin","0",-0.029,-0.098,0.04,0.414,""
"Violating outcomes (Poor)","ses_french_bin","0.33",0.01,-0.012,0.032,0.372,""
"Violating outcomes (Poor)","ses_french_bin","0.66",0.017,-0.026,0.06,0.435,""
"Violating outcomes (Poor)","ses_french_bin","1",0.002,-0.003,0.006,0.448,""
"Violating outcomes (Poor)","ses_male_bin","0",-0.03,-0.064,0.005,0.09,"."
"Violating outcomes (Poor)","ses_male_bin","0.33",0.011,-0.002,0.025,0.096,"."
"Violating outcomes (Poor)","ses_male_bin","0.66",0.017,-0.003,0.036,0.09,"."
"Violating outcomes (Poor)","ses_male_bin","1",0.002,0,0.004,0.108,""
"Violating outcomes (Poor)","trust_social_bin","0",-0.01,-0.043,0.024,0.567,""
"Violating outcomes (Poor)","trust_social_bin","0.33",0.004,-0.009,0.016,0.567,""
"Violating outcomes (Poor)","trust_social_bin","0.66",0.006,-0.013,0.024,0.568,""
"Violating outcomes (Poor)","trust_social_bin","1",0.001,-0.001,0.002,0.571,""
"Violating outcomes (Poor)","univ_educ_bin","0",-0.022,-0.057,0.012,0.208,""
"Violating outcomes (Poor)","univ_educ_bin","0.33",0.008,-0.005,0.022,0.213,""
"Violating outcomes (Poor)","univ_educ_bin","0.66",0.012,-0.007,0.032,0.208,""
"Violating outcomes (Poor)","univ_educ_bin","1",0.001,-0.001,0.003,0.222,""
"Violating outcomes (Poor)","vote_PCC_bin","0",-0.022,-0.07,0.025,0.357,""
"Violating outcomes (Poor)","vote_PCC_bin","0.33",0.008,-0.008,0.025,0.337,""
"Violating outcomes (Poor)","vote_PCC_bin","0.66",0.013,-0.015,0.041,0.369,""
"Violating outcomes (Poor)","vote_PCC_bin","1",0.001,-0.002,0.004,0.379,""
"Violating outcomes (Poor)","vote_PLC_bin","0",-0.032,-0.074,0.009,0.129,""
"Violating outcomes (Poor)","vote_PLC_bin","0.33",0.012,-0.003,0.027,0.122,""
"Violating outcomes (Poor)","vote_PLC_bin","0.66",0.019,-0.006,0.043,0.136,""
"Violating outcomes (Poor)","vote_PLC_bin","1",0.002,-0.001,0.005,0.159,""
"Violating outcomes (Rich)","alberta_bin","0",0.029,-0.02,0.078,0.242,""
"Violating outcomes (Rich)","alberta_bin","0.33",-0.013,-0.035,0.01,0.265,""
"Violating outcomes (Rich)","alberta_bin","0.66",-0.015,-0.04,0.009,0.225,""
"Violating outcomes (Rich)","alberta_bin","1",-0.001,-0.003,0.001,0.24,""
"Violating outcomes (Rich)","employ_fulltime_bin","0",-0.001,-0.039,0.036,0.941,""
"Violating outcomes (Rich)","employ_fulltime_bin","0.33",0.001,-0.015,0.016,0.941,""
"Violating outcomes (Rich)","employ_fulltime_bin","0.66",0.001,-0.02,0.021,0.941,""
"Violating outcomes (Rich)","employ_fulltime_bin","1",0,-0.001,0.002,0.941,""
"Violating outcomes (Rich)","ideo_define_QC_first_bin","0",-0.016,-0.085,0.053,0.645,""
"Violating outcomes (Rich)","ideo_define_QC_first_bin","0.33",0.006,-0.019,0.032,0.627,""
"Violating outcomes (Rich)","ideo_define_QC_first_bin","0.66",0.009,-0.031,0.049,0.656,""
"Violating outcomes (Rich)","ideo_define_QC_first_bin","1",0.001,-0.002,0.004,0.661,""
"Violating outcomes (Rich)","ideo_interest_politics_num","0",0.083,0.019,0.146,0.011,"*"
"Violating outcomes (Rich)","ideo_interest_politics_num","0.33",-0.034,-0.061,-0.007,0.013,"*"
"Violating outcomes (Rich)","ideo_interest_politics_num","0.66",-0.045,-0.08,-0.01,0.012,"*"
"Violating outcomes (Rich)","ideo_interest_politics_num","1",-0.003,-0.006,0,0.031,"*"
"Violating outcomes (Rich)","ideo_right_num","0",-0.356,-0.442,-0.27,0,"***"
"Violating outcomes (Rich)","ideo_right_num","0.33",0.148,0.107,0.189,0,"***"
"Violating outcomes (Rich)","ideo_right_num","0.66",0.193,0.142,0.244,0,"***"
"Violating outcomes (Rich)","ideo_right_num","1",0.015,0.007,0.022,0,"***"
"Violating outcomes (Rich)","incomeHigh_bin","0",-0.062,-0.105,-0.019,0.004,"**"
"Violating outcomes (Rich)","incomeHigh_bin","0.33",0.022,0.009,0.034,0.001,"**"
"Violating outcomes (Rich)","incomeHigh_bin","0.66",0.038,0.009,0.067,0.011,"*"
"Violating outcomes (Rich)","incomeHigh_bin","1",0.003,0,0.006,0.033,"*"
"Violating outcomes (Rich)","quebec_bin","0",0.008,-0.071,0.087,0.845,""
"Violating outcomes (Rich)","quebec_bin","0.33",-0.003,-0.037,0.03,0.847,""
"Violating outcomes (Rich)","quebec_bin","0.66",-0.004,-0.046,0.038,0.844,""
"Violating outcomes (Rich)","quebec_bin","1",0,-0.003,0.003,0.844,""
"Violating outcomes (Rich)","region_eastcoast_bin","0",0.044,-0.006,0.093,0.084,"."
"Violating outcomes (Rich)","region_eastcoast_bin","0.33",-0.02,-0.043,0.004,0.108,""
"Violating outcomes (Rich)","region_eastcoast_bin","0.66",-0.022,-0.046,0.002,0.069,"."
"Violating outcomes (Rich)","region_eastcoast_bin","1",-0.002,-0.004,0,0.089,"."
"Violating outcomes (Rich)","ses_age","0",0,-0.001,0.001,0.943,""
"Violating outcomes (Rich)","ses_age","0.33",0,0,0,0.943,""
"Violating outcomes (Rich)","ses_age","0.66",0,-0.001,0.001,0.943,""
"Violating outcomes (Rich)","ses_age","1",0,0,0,0.943,""
"Violating outcomes (Rich)","ses_citizenYes_bin","0",-0.04,-0.091,0.011,0.127,""
"Violating outcomes (Rich)","ses_citizenYes_bin","0.33",0.018,-0.007,0.044,0.161,""
"Violating outcomes (Rich)","ses_citizenYes_bin","0.66",0.02,-0.004,0.044,0.102,""
"Violating outcomes (Rich)","ses_citizenYes_bin","1",0.001,0,0.003,0.12,""
"Violating outcomes (Rich)","ses_french_bin","0",-0.055,-0.124,0.014,0.116,""
"Violating outcomes (Rich)","ses_french_bin","0.33",0.02,-0.002,0.043,0.075,"."
"Violating outcomes (Rich)","ses_french_bin","0.66",0.032,-0.011,0.075,0.145,""
"Violating outcomes (Rich)","ses_french_bin","1",0.002,-0.001,0.006,0.178,""
"Violating outcomes (Rich)","ses_male_bin","0",0.029,-0.006,0.064,0.1,""
"Violating outcomes (Rich)","ses_male_bin","0.33",-0.012,-0.027,0.002,0.101,""
"Violating outcomes (Rich)","ses_male_bin","0.66",-0.016,-0.035,0.003,0.102,""
"Violating outcomes (Rich)","ses_male_bin","1",-0.001,-0.003,0,0.128,""
"Violating outcomes (Rich)","trust_social_bin","0",-0.056,-0.091,-0.022,0.001,"**"
"Violating outcomes (Rich)","trust_social_bin","0.33",0.023,0.009,0.038,0.002,"**"
"Violating outcomes (Rich)","trust_social_bin","0.66",0.031,0.012,0.05,0.001,"**"
"Violating outcomes (Rich)","trust_social_bin","1",0.002,0.001,0.004,0.011,"*"
"Violating outcomes (Rich)","univ_educ_bin","0",0.003,-0.033,0.038,0.887,""
"Violating outcomes (Rich)","univ_educ_bin","0.33",-0.001,-0.016,0.014,0.887,""
"Violating outcomes (Rich)","univ_educ_bin","0.66",-0.001,-0.021,0.018,0.887,""
"Violating outcomes (Rich)","univ_educ_bin","1",0,-0.002,0.001,0.887,""
"Violating outcomes (Rich)","vote_PCC_bin","0",-0.066,-0.114,-0.018,0.007,"**"
"Violating outcomes (Rich)","vote_PCC_bin","0.33",0.025,0.008,0.041,0.004,"**"
"Violating outcomes (Rich)","vote_PCC_bin","0.66",0.038,0.008,0.068,0.012,"*"
"Violating outcomes (Rich)","vote_PCC_bin","1",0.003,0,0.006,0.032,"*"
"Violating outcomes (Rich)","vote_PLC_bin","0",-0.002,-0.045,0.041,0.923,""
"Violating outcomes (Rich)","vote_PLC_bin","0.33",0.001,-0.017,0.019,0.922,""
"Violating outcomes (Rich)","vote_PLC_bin","0.66",0.001,-0.022,0.025,0.923,""
"Violating outcomes (Rich)","vote_PLC_bin","1",0,-0.002,0.002,0.923,""
"Social benefits not a choice","alberta_bin","0",-0.009,-0.016,-0.003,0.004,"**"
"Social benefits not a choice","alberta_bin","0.33",-0.044,-0.073,-0.015,0.003,"**"
"Social benefits not a choice","alberta_bin","0.66",-0.004,-0.011,0.003,0.294,""
"Social benefits not a choice","alberta_bin","1",0.057,0.016,0.099,0.006,"**"
"Social benefits not a choice","employ_fulltime_bin","0",0.008,0.003,0.014,0.005,"**"
"Social benefits not a choice","employ_fulltime_bin","0.33",0.038,0.013,0.064,0.003,"**"
"Social benefits not a choice","employ_fulltime_bin","0.66",-0.001,-0.005,0.003,0.554,""
"Social benefits not a choice","employ_fulltime_bin","1",-0.045,-0.075,-0.016,0.003,"**"
"Social benefits not a choice","ideo_define_QC_first_bin","0",-0.001,-0.011,0.009,0.889,""
"Social benefits not a choice","ideo_define_QC_first_bin","0.33",-0.003,-0.05,0.043,0.889,""
"Social benefits not a choice","ideo_define_QC_first_bin","0.66",0,-0.001,0.001,0.995,""
"Social benefits not a choice","ideo_define_QC_first_bin","1",0.004,-0.053,0.061,0.89,""
"Social benefits not a choice","ideo_interest_politics_num","0",-0.026,-0.037,-0.014,0,"***"
"Social benefits not a choice","ideo_interest_politics_num","0.33",-0.116,-0.159,-0.073,0,"***"
"Social benefits not a choice","ideo_interest_politics_num","0.66",0.001,-0.01,0.013,0.8,""
"Social benefits not a choice","ideo_interest_politics_num","1",0.14,0.088,0.191,0,"***"
"Social benefits not a choice","ideo_right_num","0",0.06,0.041,0.079,0,"***"
"Social benefits not a choice","ideo_right_num","0.33",0.27,0.212,0.329,0,"***"
"Social benefits not a choice","ideo_right_num","0.66",-0.003,-0.03,0.023,0.8,""
"Social benefits not a choice","ideo_right_num","1",-0.327,-0.396,-0.257,0,"***"
"Social benefits not a choice","incomeHigh_bin","0",0.017,0.007,0.026,0.001,"**"
"Social benefits not a choice","incomeHigh_bin","0.33",0.069,0.035,0.103,0,"***"
"Social benefits not a choice","incomeHigh_bin","0.66",-0.013,-0.027,0,0.052,"."
"Social benefits not a choice","incomeHigh_bin","1",-0.073,-0.103,-0.042,0,"***"
"Social benefits not a choice","quebec_bin","0",-0.002,-0.013,0.009,0.679,""
"Social benefits not a choice","quebec_bin","0.33",-0.011,-0.062,0.041,0.682,""
"Social benefits not a choice","quebec_bin","0.66",0,-0.002,0.002,0.908,""
"Social benefits not a choice","quebec_bin","1",0.013,-0.051,0.078,0.688,""
"Social benefits not a choice","region_eastcoast_bin","0",0.001,-0.006,0.008,0.702,""
"Social benefits not a choice","region_eastcoast_bin","0.33",0.006,-0.025,0.038,0.701,""
"Social benefits not a choice","region_eastcoast_bin","0.66",0,-0.002,0.001,0.819,""
"Social benefits not a choice","region_eastcoast_bin","1",-0.007,-0.045,0.03,0.698,""
"Social benefits not a choice","ses_age","0",0,0,0,0.684,""
"Social benefits not a choice","ses_age","0.33",0,-0.001,0.001,0.684,""
"Social benefits not a choice","ses_age","0.66",0,0,0,0.831,""
"Social benefits not a choice","ses_age","1",0,-0.001,0.001,0.684,""
"Social benefits not a choice","ses_citizenYes_bin","0",-0.006,-0.015,0.002,0.119,""
"Social benefits not a choice","ses_citizenYes_bin","0.33",-0.028,-0.062,0.005,0.1,""
"Social benefits not a choice","ses_citizenYes_bin","0.66",0.003,-0.004,0.009,0.411,""
"Social benefits not a choice","ses_citizenYes_bin","1",0.032,-0.004,0.068,0.08,"."
"Social benefits not a choice","ses_french_bin","0",-0.008,-0.017,0.002,0.115,""
"Social benefits not a choice","ses_french_bin","0.33",-0.036,-0.081,0.01,0.123,""
"Social benefits not a choice","ses_french_bin","0.66",-0.003,-0.011,0.006,0.534,""
"Social benefits not a choice","ses_french_bin","1",0.046,-0.016,0.107,0.147,""
"Social benefits not a choice","ses_male_bin","0",-0.003,-0.008,0.002,0.239,""
"Social benefits not a choice","ses_male_bin","0.33",-0.014,-0.037,0.009,0.234,""
"Social benefits not a choice","ses_male_bin","0.66",0,-0.001,0.002,0.773,""
"Social benefits not a choice","ses_male_bin","1",0.017,-0.011,0.045,0.234,""
"Social benefits not a choice","trust_social_bin","0",-0.01,-0.016,-0.005,0,"***"
"Social benefits not a choice","trust_social_bin","0.33",-0.048,-0.07,-0.025,0,"***"
"Social benefits not a choice","trust_social_bin","0.66",0,-0.005,0.005,0.923,""
"Social benefits not a choice","trust_social_bin","1",0.058,0.03,0.085,0,"***"
"Social benefits not a choice","univ_educ_bin","0",-0.006,-0.012,-0.001,0.021,"*"
"Social benefits not a choice","univ_educ_bin","0.33",-0.029,-0.052,-0.005,0.017,"*"
"Social benefits not a choice","univ_educ_bin","0.66",0,-0.002,0.003,0.761,""
"Social benefits not a choice","univ_educ_bin","1",0.035,0.006,0.063,0.016,"*"
"Social benefits not a choice","vote_PCC_bin","0",0.01,0.002,0.019,0.016,"*"
"Social benefits not a choice","vote_PCC_bin","0.33",0.046,0.01,0.081,0.011,"*"
"Social benefits not a choice","vote_PCC_bin","0.66",-0.004,-0.012,0.003,0.253,""
