"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_pref_logit","Increase debt","trust_inst_prov_bin",1999,0.001,-0.054,0.056,0.964,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","univ_educ_bin",1999,0.013,-0.029,0.054,0.554,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","vote_PCC_bin",1999,-0.119,-0.176,-0.061,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","vote_PLC_bin",1999,0.009,-0.044,0.063,0.731,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","age18_34_bin",2000,-0.151,-0.211,-0.091,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","age55plus_bin",2000,-0.047,-0.104,0.011,0.11,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","alberta_bin",2000,0.019,-0.042,0.081,0.538,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","children_bin",2000,-0.116,-0.164,-0.069,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","employ_fulltime_bin",2000,-0.009,-0.059,0.04,0.708,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_define_QC_first_bin",2000,-0.071,-0.156,0.014,0.101,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_right_num",2000,0.293,0.182,0.404,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_vote_fed_left",2000,-0.092,-0.204,0.02,0.108,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_vote_prov_left",2000,-0.057,-0.122,0.007,0.081,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","incomeHigh_bin",2000,0.007,-0.052,0.066,0.815,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","quebec_bin",2000,0.029,-0.072,0.129,0.576,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","region_eastcoast_bin",2000,-0.021,-0.082,0.04,0.495,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ses_french_bin",2000,0.008,-0.085,0.1,0.867,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ses_male_bin",2000,0.015,-0.029,0.059,0.51,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","trust_inst_fed_bin",2000,-0.072,-0.131,-0.013,0.016,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","trust_inst_prov_bin",2000,0.002,-0.057,0.061,0.956,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","univ_educ_bin",2000,0.004,-0.04,0.049,0.844,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","vote_PCC_bin",2000,0.064,-0.002,0.13,0.056,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","vote_PLC_bin",2000,-0.019,-0.08,0.041,0.526,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","age18_34_bin",1977,-0.006,-0.028,0.015,0.551,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","age55plus_bin",1977,-0.016,-0.036,0.003,0.106,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","alberta_bin",1977,-0.013,-0.032,0.006,0.187,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","children_bin",1977,0.002,-0.017,0.022,0.806,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","employ_fulltime_bin",1977,-0.026,-0.044,-0.008,0.004,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_define_QC_first_bin",1977,0.022,-0.024,0.067,0.351,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_right_num",1977,-0.048,-0.091,-0.005,0.03,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_vote_fed_left",1977,-0.019,-0.059,0.022,0.369,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_vote_prov_left",1977,0.014,-0.011,0.038,0.271,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","incomeHigh_bin",1977,0.011,-0.012,0.035,0.348,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","quebec_bin",1977,0.006,-0.026,0.037,0.723,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","region_eastcoast_bin",1977,-0.007,-0.027,0.014,0.525,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ses_french_bin",1977,-0.013,-0.035,0.01,0.265,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ses_male_bin",1977,0.015,-0.002,0.032,0.086,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","trust_inst_fed_bin",1977,0.016,-0.006,0.037,0.15,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","trust_inst_prov_bin",1977,-0.002,-0.021,0.018,0.856,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","univ_educ_bin",1977,0.012,-0.005,0.028,0.163,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","vote_PCC_bin",1977,-0.012,-0.035,0.011,0.302,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","vote_PLC_bin",1977,-0.002,-0.023,0.019,0.843,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","age18_34_bin",1979,0.056,0.013,0.098,0.011,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","age55plus_bin",1979,0.004,-0.033,0.041,0.83,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","alberta_bin",1979,-0.001,-0.038,0.036,0.946,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","children_bin",1979,0.028,-0.001,0.057,0.055,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","employ_fulltime_bin",1979,0.012,-0.018,0.042,0.447,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_define_QC_first_bin",1979,-0.051,-0.087,-0.015,0.005,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_right_num",1979,-0.01,-0.075,0.055,0.757,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_vote_fed_left",1979,0.023,-0.042,0.087,0.496,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_vote_prov_left",1979,-0.053,-0.096,-0.009,0.019,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","incomeHigh_bin",1979,-0.006,-0.042,0.029,0.721,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","quebec_bin",1979,0.056,-0.017,0.129,0.133,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","region_eastcoast_bin",1979,-0.003,-0.04,0.034,0.866,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ses_french_bin",1979,-0.03,-0.078,0.018,0.219,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ses_male_bin",1979,-0.027,-0.053,0,0.049,"*","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","trust_inst_fed_bin",1979,-0.023,-0.055,0.009,0.159,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","trust_inst_prov_bin",1979,-0.015,-0.049,0.019,0.386,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","univ_educ_bin",1979,-0.032,-0.059,-0.005,0.021,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","vote_PCC_bin",1979,0.001,-0.034,0.036,0.948,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","vote_PLC_bin",1979,-0.006,-0.041,0.028,0.715,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","age18_34_bin",1978,0.02,-0.014,0.054,0.242,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","age55plus_bin",1978,0.005,-0.023,0.033,0.75,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","alberta_bin",1978,-0.025,-0.051,0.002,0.07,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","children_bin",1978,0.011,-0.013,0.035,0.369,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","employ_fulltime_bin",1978,0.019,-0.005,0.044,0.124,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_define_QC_first_bin",1978,0.022,-0.032,0.076,0.433,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_right_num",1978,-0.086,-0.144,-0.028,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_vote_fed_left",1978,0.007,-0.052,0.067,0.807,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_vote_prov_left",1978,0.022,-0.01,0.054,0.186,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","incomeHigh_bin",1978,-0.014,-0.04,0.012,0.298,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","quebec_bin",1978,-0.019,-0.068,0.03,0.445,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","region_eastcoast_bin",1978,0.001,-0.027,0.03,0.932,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ses_french_bin",1978,0.02,-0.038,0.079,0.499,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ses_male_bin",1978,-0.013,-0.035,0.009,0.251,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","trust_inst_fed_bin",1978,0.019,-0.012,0.05,0.234,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","trust_inst_prov_bin",1978,-0.028,-0.056,0,0.046,"*","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","univ_educ_bin",1978,0.005,-0.017,0.027,0.661,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","vote_PCC_bin",1978,0.017,-0.028,0.063,0.46,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","vote_PLC_bin",1978,0.026,-0.003,0.056,0.083,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","age18_34_bin",1979,-0.151,-0.2,-0.101,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","age55plus_bin",1979,0.043,-0.009,0.094,0.103,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","alberta_bin",1979,0.032,-0.024,0.087,0.261,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","children_bin",1979,-0.061,-0.103,-0.019,0.005,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","employ_fulltime_bin",1979,-0.02,-0.065,0.024,0.374,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_define_QC_first_bin",1979,-0.06,-0.132,0.011,0.099,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_right_num",1979,0.278,0.177,0.38,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_vote_fed_left",1979,-0.036,-0.144,0.072,0.518,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ideo_vote_prov_left",1979,-0.043,-0.102,0.015,0.149,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","incomeHigh_bin",1979,0.085,0.031,0.14,0.002,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","quebec_bin",1979,0.02,-0.069,0.109,0.66,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","region_eastcoast_bin",1979,0.019,-0.038,0.075,0.519,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ses_french_bin",1979,0.04,-0.045,0.124,0.357,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","ses_male_bin",1979,0.018,-0.022,0.057,0.379,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","trust_inst_fed_bin",1979,-0.074,-0.125,-0.024,0.004,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","trust_inst_prov_bin",1979,-0.026,-0.077,0.024,0.299,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","univ_educ_bin",1979,0.005,-0.034,0.045,0.788,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","vote_PCC_bin",1979,0.105,0.044,0.166,0.001,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","vote_PLC_bin",1979,-0.008,-0.066,0.049,0.781,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","age18_34_bin",1998,0.006,-0.051,0.063,0.829,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","age55plus_bin",1998,-0.057,-0.109,-0.004,0.034,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","alberta_bin",1998,0.003,-0.052,0.057,0.922,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","children_bin",1998,0.01,-0.033,0.054,0.641,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","employ_fulltime_bin",1998,-0.005,-0.05,0.04,0.817,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_define_QC_first_bin",1998,0.03,-0.051,0.11,0.468,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_right_num",1998,-0.131,-0.233,-0.029,0.012,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_vote_fed_left",1998,-0.012,-0.119,0.095,0.823,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_vote_prov_left",1998,0.076,0.018,0.135,0.011,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","incomeHigh_bin",1998,-0.012,-0.063,0.039,0.647,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","quebec_bin",1998,-0.009,-0.097,0.079,0.846,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","region_eastcoast_bin",1998,-0.022,-0.077,0.032,0.421,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ses_french_bin",1998,-0.049,-0.13,0.033,0.245,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ses_male_bin",1998,0.069,0.029,0.108,0.001,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","trust_inst_fed_bin",1998,0.049,-0.003,0.102,0.067,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","trust_inst_prov_bin",1998,0.04,-0.011,0.091,0.121,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","univ_educ_bin",1998,0.016,-0.023,0.056,0.425,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","vote_PCC_bin",1998,-0.143,-0.2,-0.087,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","vote_PLC_bin",1998,-0.046,-0.103,0.012,0.118,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","age18_34_bin",2000,0.137,0.075,0.2,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","age55plus_bin",2000,-0.004,-0.062,0.055,0.901,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","alberta_bin",2000,-0.005,-0.064,0.055,0.879,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","children_bin",2000,0.039,-0.009,0.088,0.114,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","employ_fulltime_bin",2000,0.029,-0.022,0.079,0.267,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_define_QC_first_bin",2000,-0.016,-0.104,0.071,0.714,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_right_num",2000,-0.064,-0.176,0.048,0.262,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_vote_fed_left",2000,-0.013,-0.127,0.101,0.827,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_vote_prov_left",2000,-0.065,-0.13,-0.001,0.046,"*","Negative","cc1","Increase childcare spending, how to fund it"
