"iv","dv","contrast","estimate","conf.low","conf.high","p.value","sig","direction"
"Alberta (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.051,0.022,0.079,0,"***","1 > 0"
"Alberta (No=0 vs Yes=1)","Healthcare","0 vs 1",1.12,-0.398,2.638,0.148,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Seniors","0 vs 1",-0.729,-1.79,0.333,0.179,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Cost of living","0 vs 1",-1.494,-2.347,-0.64,0.001,"**","0 > 1"
"Alberta (No=0 vs Yes=1)","Economy","0 vs 1",4.004,2.622,5.386,0,"***","1 > 0"
"Alberta (No=0 vs Yes=1)","Climate","0 vs 1",-2.777,-3.846,-1.708,0,"***","0 > 1"
"Ontario (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.013,-0.058,0.033,0.588,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Education","0 vs 1",-0.022,-0.051,0.007,0.131,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Pensions","0 vs 1",0.011,-0.013,0.035,0.365,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Tax reduction","0 vs 1",0.046,0.012,0.08,0.009,"**","1 > 0"
"Ontario (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.022,-0.046,0.002,0.074,".","No clear difference"
"Ontario (No=0 vs Yes=1)","Healthcare","0 vs 1",-3.143,-4.555,-1.73,0,"***","0 > 1"
"Ontario (No=0 vs Yes=1)","Seniors","0 vs 1",-0.078,-1.181,1.025,0.89,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Cost of living","0 vs 1",0.301,-0.612,1.214,0.518,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Economy","0 vs 1",2.087,0.807,3.366,0.001,"**","1 > 0"
"Ontario (No=0 vs Yes=1)","Climate","0 vs 1",0.716,-0.336,1.767,0.182,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Healthcare","0 vs 1",0.111,0.067,0.154,0,"***","1 > 0"
"Eastern Canada (No=0 vs Yes=1)","Education","0 vs 1",-0.068,-0.094,-0.043,0,"***","0 > 1"
"Eastern Canada (No=0 vs Yes=1)","Pensions","0 vs 1",-0.009,-0.031,0.013,0.421,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.037,-0.067,-0.007,0.016,"*","0 > 1"
"Eastern Canada (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.001,-0.026,0.024,0.939,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Healthcare","0 vs 1",1.511,-0.006,3.027,0.051,".","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Seniors","0 vs 1",-0.16,-1.14,0.821,0.75,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Cost of living","0 vs 1",0.096,-0.753,0.945,0.825,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Economy","0 vs 1",-0.621,-1.758,0.516,0.284,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Climate","0 vs 1",-0.726,-1.758,0.306,0.168,"","No clear difference"
"High Income (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.074,-0.129,-0.018,0.009,"**","0 > 1"
"High Income (No=0 vs Yes=1)","Education","0 vs 1",0.056,0.016,0.097,0.007,"**","1 > 0"
"High Income (No=0 vs Yes=1)","Pensions","0 vs 1",-0.01,-0.037,0.016,0.444,"","No clear difference"
"High Income (No=0 vs Yes=1)","Tax reduction","0 vs 1",0.028,-0.013,0.068,0.181,"","No clear difference"
"High Income (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.004,-0.027,0.036,0.8,"","No clear difference"
"High Income (No=0 vs Yes=1)","Healthcare","0 vs 1",-1.659,-3.373,0.054,0.058,".","No clear difference"
"High Income (No=0 vs Yes=1)","Seniors","0 vs 1",-2.452,-3.753,-1.151,0,"***","0 > 1"
"High Income (No=0 vs Yes=1)","Cost of living","0 vs 1",0.221,-0.931,1.373,0.707,"","No clear difference"
"High Income (No=0 vs Yes=1)","Economy","0 vs 1",2.842,1.121,4.563,0.001,"**","1 > 0"
"High Income (No=0 vs Yes=1)","Climate","0 vs 1",1.303,-0.197,2.803,0.089,".","No clear difference"
"Gender (Female=0 vs Male=1)","Healthcare","0 vs 1",-0.15,-0.189,-0.111,0,"***","0 > 1"
"Gender (Female=0 vs Male=1)","Education","0 vs 1",0.005,-0.02,0.031,0.679,"","No clear difference"
"Gender (Female=0 vs Male=1)","Pensions","0 vs 1",0.029,0.01,0.049,0.004,"**","1 > 0"
"Gender (Female=0 vs Male=1)","Tax reduction","0 vs 1",0.057,0.03,0.085,0,"***","1 > 0"
"Gender (Female=0 vs Male=1)","Debt reduction","0 vs 1",0.057,0.035,0.079,0,"***","1 > 0"
"Gender (Female=0 vs Male=1)","Healthcare","0 vs 1",-2.958,-4.246,-1.669,0,"***","0 > 1"
"Gender (Female=0 vs Male=1)","Seniors","0 vs 1",-0.28,-1.193,0.632,0.547,"","No clear difference"
"Gender (Female=0 vs Male=1)","Cost of living","0 vs 1",-1.191,-1.957,-0.425,0.002,"**","0 > 1"
"Gender (Female=0 vs Male=1)","Economy","0 vs 1",4.421,3.353,5.489,0,"***","1 > 0"
"Gender (Female=0 vs Male=1)","Climate","0 vs 1",0.016,-0.913,0.946,0.973,"","No clear difference"
"Age 18-34 (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.01,-0.057,0.037,0.676,"","No clear difference"
"Age 18-34 (No=0 vs Yes=1)","Education","0 vs 1",0.079,0.044,0.114,0,"***","1 > 0"
"Age 18-34 (No=0 vs Yes=1)","Pensions","0 vs 1",-0.034,-0.054,-0.015,0.001,"**","0 > 1"
"Age 18-34 (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.008,-0.04,0.025,0.645,"","No clear difference"
"Age 18-34 (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.023,-0.047,0.002,0.071,".","No clear difference"
"Age 18-34 (No=0 vs Yes=1)","Healthcare","0 vs 1",-4.278,-5.812,-2.745,0,"***","0 > 1"
"Age 18-34 (No=0 vs Yes=1)","Seniors","0 vs 1",-4.387,-5.435,-3.338,0,"***","0 > 1"
"Age 18-34 (No=0 vs Yes=1)","Cost of living","0 vs 1",5.116,4.13,6.101,0,"***","1 > 0"
"Age 18-34 (No=0 vs Yes=1)","Economy","0 vs 1",-0.331,-1.621,0.959,0.615,"","No clear difference"
"Age 18-34 (No=0 vs Yes=1)","Climate","0 vs 1",3.765,2.572,4.957,0,"***","1 > 0"
"Age 55+ (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.015,-0.054,0.025,0.465,"","No clear difference"
"Age 55+ (No=0 vs Yes=1)","Education","0 vs 1",-0.085,-0.11,-0.06,0,"***","0 > 1"
"Age 55+ (No=0 vs Yes=1)","Pensions","0 vs 1",0.065,0.045,0.085,0,"***","1 > 0"
"Age 55+ (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.011,-0.039,0.016,0.424,"","No clear difference"
"Age 55+ (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.045,0.022,0.068,0,"***","1 > 0"
"Age 55+ (No=0 vs Yes=1)","Healthcare","0 vs 1",2.085,0.799,3.37,0.001,"**","1 > 0"
"Age 55+ (No=0 vs Yes=1)","Seniors","0 vs 1",4.681,3.779,5.583,0,"***","1 > 0"
"Age 55+ (No=0 vs Yes=1)","Cost of living","0 vs 1",-4.682,-5.41,-3.955,0,"***","0 > 1"
"Age 55+ (No=0 vs Yes=1)","Economy","0 vs 1",-0.464,-1.549,0.62,0.401,"","No clear difference"
"Age 55+ (No=0 vs Yes=1)","Climate","0 vs 1",-1.785,-2.704,-0.866,0,"***","0 > 1"
"University Education (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.002,-0.041,0.038,0.936,"","No clear difference"
"University Education (No=0 vs Yes=1)","Education","0 vs 1",0.019,-0.006,0.045,0.138,"","No clear difference"
"University Education (No=0 vs Yes=1)","Pensions","0 vs 1",-0.022,-0.042,-0.002,0.029,"*","0 > 1"
"University Education (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.022,-0.05,0.006,0.121,"","No clear difference"
"University Education (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.027,0.005,0.049,0.017,"*","1 > 0"
"University Education (No=0 vs Yes=1)","Healthcare","0 vs 1",-1.726,-3.026,-0.426,0.009,"**","0 > 1"
"University Education (No=0 vs Yes=1)","Seniors","0 vs 1",-3.678,-4.591,-2.764,0,"***","0 > 1"
"University Education (No=0 vs Yes=1)","Cost of living","0 vs 1",-0.063,-0.834,0.708,0.873,"","No clear difference"
"University Education (No=0 vs Yes=1)","Economy","0 vs 1",1.65,0.566,2.734,0.003,"**","1 > 0"
"University Education (No=0 vs Yes=1)","Climate","0 vs 1",3.629,2.715,4.543,0,"***","1 > 0"
"Citizen (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.027,-0.078,0.024,0.305,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Education","0 vs 1",0.019,-0.014,0.051,0.256,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Pensions","0 vs 1",0.019,-0.005,0.042,0.115,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.043,-0.082,-0.004,0.03,"*","0 > 1"
"Citizen (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.031,0.006,0.057,0.016,"*","1 > 0"
"Citizen (No=0 vs Yes=1)","Healthcare","0 vs 1",0.926,-0.681,2.534,0.259,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Seniors","0 vs 1",1.833,0.66,3.007,0.002,"**","1 > 0"
"Citizen (No=0 vs Yes=1)","Cost of living","0 vs 1",-1.1,-2.073,-0.126,0.027,"*","0 > 1"
"Citizen (No=0 vs Yes=1)","Economy","0 vs 1",-1.172,-2.537,0.193,0.093,".","No clear difference"
"Citizen (No=0 vs Yes=1)","Climate","0 vs 1",-0.38,-1.557,0.797,0.527,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.032,-0.079,0.015,0.181,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Education","0 vs 1",0.114,0.078,0.15,0,"***","1 > 0"
"French-speaking (No=0 vs Yes=1)","Pensions","0 vs 1",0.002,-0.022,0.025,0.88,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.053,-0.083,-0.023,0.001,"**","0 > 1"
"French-speaking (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.026,-0.051,-0.002,0.036,"*","0 > 1"
"French-speaking (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.857,-2.313,0.598,0.248,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Seniors","0 vs 1",1.541,0.528,2.554,0.003,"**","1 > 0"
"French-speaking (No=0 vs Yes=1)","Cost of living","0 vs 1",1.017,0.127,1.906,0.025,"*","1 > 0"
"French-speaking (No=0 vs Yes=1)","Economy","0 vs 1",-5.593,-6.67,-4.517,0,"***","0 > 1"
"French-speaking (No=0 vs Yes=1)","Climate","0 vs 1",3.772,2.644,4.9,0,"***","1 > 0"
"Social Trust (Low=0 vs High=1)","Healthcare","0 vs 1",0.014,-0.025,0.054,0.477,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Education","0 vs 1",0.01,-0.016,0.036,0.446,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Pensions","0 vs 1",0.006,-0.014,0.025,0.575,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Tax reduction","0 vs 1",-0.036,-0.063,-0.008,0.011,"*","0 > 1"
"Social Trust (Low=0 vs High=1)","Debt reduction","0 vs 1",0.001,-0.021,0.023,0.913,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Healthcare","0 vs 1",-2.238,-3.519,-0.957,0.001,"**","0 > 1"
"Social Trust (Low=0 vs High=1)","Seniors","0 vs 1",0.045,-0.864,0.954,0.923,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Cost of living","0 vs 1",0.147,-0.614,0.908,0.705,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Economy","0 vs 1",0.367,-0.716,1.449,0.506,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Climate","0 vs 1",1.702,0.776,2.627,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.042,-0.082,-0.002,0.038,"*","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Education","0 vs 1",0.043,0.017,0.07,0.001,"**","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Pensions","0 vs 1",-0.023,-0.043,-0.004,0.018,"*","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Tax reduction","0 vs 1",0.051,0.022,0.079,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.028,-0.049,-0.006,0.014,"*","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Healthcare","0 vs 1",-1.636,-2.939,-0.333,0.014,"*","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Seniors","0 vs 1",-2.806,-3.704,-1.909,0,"***","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Cost of living","0 vs 1",2.25,1.478,3.022,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Economy","0 vs 1",2.193,1.082,3.303,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Climate","0 vs 1",0.034,-0.911,0.98,0.943,"","No clear difference"
"Ideology: Left (0) vs Right (1)","Healthcare","0 vs 1",-0.345,-0.434,-0.256,0,"***","0 > 1"
"Ideology: Left (0) vs Right (1)","Education","0 vs 1",-0.074,-0.133,-0.014,0.015,"*","0 > 1"
"Ideology: Left (0) vs Right (1)","Pensions","0 vs 1",0,-0.044,0.043,0.991,"","No clear difference"
"Ideology: Left (0) vs Right (1)","Tax reduction","0 vs 1",0.242,0.174,0.309,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Debt reduction","0 vs 1",0.176,0.123,0.229,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Healthcare","0 vs 1",0.469,-2.493,3.431,0.756,"","No clear difference"
"Ideology: Left (0) vs Right (1)","Seniors","0 vs 1",4.735,2.41,7.06,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Cost of living","0 vs 1",-3.726,-5.623,-1.83,0,"***","0 > 1"
"Ideology: Left (0) vs Right (1)","Economy","0 vs 1",12.911,10.351,15.47,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Climate","0 vs 1",-14.374,-16.542,-12.206,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Healthcare","0 vs 1",0.115,0.076,0.154,0,"***","1 > 0"
"Liberal voter (No=0 vs Yes=1)","Education","0 vs 1",-0.017,-0.043,0.009,0.2,"","No clear difference"
"Liberal voter (No=0 vs Yes=1)","Pensions","0 vs 1",0.001,-0.019,0.021,0.938,"","No clear difference"
"Liberal voter (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.054,-0.082,-0.027,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.046,-0.067,-0.024,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.509,-1.791,0.772,0.436,"","No clear difference"
"Liberal voter (No=0 vs Yes=1)","Seniors","0 vs 1",-1.463,-2.353,-0.573,0.001,"**","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Cost of living","0 vs 1",-0.269,-1.021,0.483,0.483,"","No clear difference"
"Liberal voter (No=0 vs Yes=1)","Economy","0 vs 1",-2.342,-3.386,-1.298,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Climate","0 vs 1",4.43,3.502,5.359,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.141,-0.185,-0.097,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","Education","0 vs 1",-0.057,-0.082,-0.031,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","Pensions","0 vs 1",0.002,-0.02,0.024,0.863,"","No clear difference"
"Conservative voter (No=0 vs Yes=1)","Tax reduction","0 vs 1",0.095,0.061,0.129,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Debt reduction","0 vs 1",0.099,0.07,0.128,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Healthcare","0 vs 1",2.296,0.804,3.788,0.003,"**","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Seniors","0 vs 1",1.717,0.64,2.794,0.002,"**","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Cost of living","0 vs 1",-1.601,-2.489,-0.713,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","Economy","0 vs 1",5.731,4.401,7.061,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Climate","0 vs 1",-8.042,-8.902,-7.182,0,"***","0 > 1"
