"iv","dv","contrast","estimate","conf.low","conf.high","p.value","sig","direction"
"Eastern Canada (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",-0.01,-0.029,0.009,0.305,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",-0.032,-0.052,-0.012,0.002,"**","0 > 1"
"Eastern Canada (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",-0.023,-0.046,-0.001,0.041,"*","0 > 1"
"Eastern Canada (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",-0.019,-0.04,0.001,0.068,".","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",-0.027,-0.061,0.008,0.128,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.009,-0.041,0.024,0.609,"","No clear difference"
"Gender (Female=0 vs Male=1)","Fairness of income distribution","0 vs 1",0.053,0.032,0.073,0,"***","1 > 0"
"Gender (Female=0 vs Male=1)","Trust not to cheat system","0 vs 1",-0.006,-0.028,0.016,0.581,"","No clear difference"
"Gender (Female=0 vs Male=1)","Violating outcomes (Poor)","0 vs 1",0.015,-0.003,0.032,0.098,".","No clear difference"
"Gender (Female=0 vs Male=1)","Violating outcomes (Rich)","0 vs 1",-0.007,-0.025,0.011,0.431,"","No clear difference"
"Gender (Female=0 vs Male=1)","Social benefits not a choice","0 vs 1",0.019,-0.001,0.039,0.058,".","No clear difference"
"Gender (Female=0 vs Male=1)","Welfare goes to undeserving","0 vs 1",0.022,0.003,0.04,0.02,"*","1 > 0"
"Gender (Female=0 vs Male=1)","People have equal opportunity","0 vs 1",0.085,0.054,0.116,0,"***","1 > 0"
"Gender (Female=0 vs Male=1)","Rewarded for effort and skill","0 vs 1",0.031,0.002,0.059,0.035,"*","1 > 0"
"Age (30 vs 60)","Fairness of income distribution","30 vs 60",0.011,-0.007,0.029,0.216,"","No clear difference"
"Age (30 vs 60)","Trust not to cheat system","30 vs 60",0.051,0.033,0.07,0,"***","60 > 30"
"Age (30 vs 60)","Violating outcomes (Poor)","30 vs 60",-0.021,-0.036,-0.006,0.005,"**","30 > 60"
"Age (30 vs 60)","Violating outcomes (Rich)","30 vs 60",-0.007,-0.022,0.008,0.366,"","No clear difference"
"Age (30 vs 60)","Social benefits not a choice","30 vs 60",0.028,0.012,0.045,0.001,"**","60 > 30"
"Age (30 vs 60)","Welfare goes to undeserving","30 vs 60",-0.009,-0.025,0.006,0.235,"","No clear difference"
"Age (30 vs 60)","People have equal opportunity","30 vs 60",0.09,0.064,0.115,0,"***","60 > 30"
"Age (30 vs 60)","Rewarded for effort and skill","30 vs 60",0.047,0.023,0.07,0,"***","60 > 30"
"Education (University vs below)","Fairness of income distribution","0 vs 1",-0.033,-0.054,-0.012,0.002,"**","0 > 1"
"Education (University vs below)","Trust not to cheat system","0 vs 1",0.03,0.008,0.052,0.008,"**","1 > 0"
"Education (University vs below)","Violating outcomes (Poor)","0 vs 1",0,-0.017,0.017,0.987,"","No clear difference"
"Education (University vs below)","Violating outcomes (Rich)","0 vs 1",-0.008,-0.025,0.01,0.381,"","No clear difference"
"Education (University vs below)","Social benefits not a choice","0 vs 1",0.038,0.018,0.058,0,"***","1 > 0"
"Education (University vs below)","Welfare goes to undeserving","0 vs 1",0.068,0.05,0.086,0,"***","1 > 0"
"Education (University vs below)","People have equal opportunity","0 vs 1",0.012,-0.019,0.044,0.433,"","No clear difference"
"Education (University vs below)","Rewarded for effort and skill","0 vs 1",0.047,0.018,0.075,0.001,"**","1 > 0"
"Income (High vs low/mid)","Fairness of income distribution","0 vs 1",0.03,0.001,0.059,0.043,"*","1 > 0"
"Income (High vs low/mid)","Trust not to cheat system","0 vs 1",-0.04,-0.072,-0.009,0.011,"*","0 > 1"
"Income (High vs low/mid)","Violating outcomes (Poor)","0 vs 1",0.023,-0.002,0.048,0.074,".","No clear difference"
"Income (High vs low/mid)","Violating outcomes (Rich)","0 vs 1",0.047,0.022,0.072,0,"***","1 > 0"
"Income (High vs low/mid)","Social benefits not a choice","0 vs 1",-0.05,-0.077,-0.023,0,"***","0 > 1"
"Income (High vs low/mid)","Welfare goes to undeserving","0 vs 1",0.022,-0.003,0.047,0.088,".","No clear difference"
"Income (High vs low/mid)","People have equal opportunity","0 vs 1",0.054,0.013,0.095,0.01,"*","1 > 0"
"Income (High vs low/mid)","Rewarded for effort and skill","0 vs 1",0.048,0.007,0.09,0.023,"*","1 > 0"
"Citizen (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.027,-0.056,0.002,0.067,".","No clear difference"
"Citizen (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.002,-0.027,0.03,0.905,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0,-0.024,0.024,0.983,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.009,-0.015,0.033,0.468,"","No clear difference"
"Citizen (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.035,0.008,0.062,0.01,"*","1 > 0"
"Citizen (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",-0.026,-0.05,-0.003,0.029,"*","0 > 1"
"Citizen (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",-0.034,-0.074,0.005,0.089,".","No clear difference"
"Citizen (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.004,-0.044,0.036,0.859,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.037,-0.063,-0.01,0.007,"**","0 > 1"
"French-speaking (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",-0.023,-0.05,0.005,0.102,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",-0.002,-0.023,0.02,0.862,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.035,0.014,0.056,0.001,"**","1 > 0"
"French-speaking (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.044,0.02,0.067,0,"***","1 > 0"
"French-speaking (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",0,-0.022,0.021,0.977,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.018,-0.02,0.056,0.351,"","No clear difference"
"French-speaking (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.041,-0.077,-0.004,0.029,"*","0 > 1"
"Social Trust (Low=0 vs High=1)","Fairness of income distribution","0 vs 1",0.019,-0.002,0.04,0.081,".","No clear difference"
"Social Trust (Low=0 vs High=1)","Trust not to cheat system","0 vs 1",0.134,0.112,0.155,0,"***","1 > 0"
"Social Trust (Low=0 vs High=1)","Violating outcomes (Poor)","0 vs 1",0.005,-0.013,0.022,0.585,"","No clear difference"
"Social Trust (Low=0 vs High=1)","Violating outcomes (Rich)","0 vs 1",0.027,0.009,0.044,0.003,"**","1 > 0"
"Social Trust (Low=0 vs High=1)","Social benefits not a choice","0 vs 1",0.053,0.033,0.072,0,"***","1 > 0"
"Social Trust (Low=0 vs High=1)","Welfare goes to undeserving","0 vs 1",0.062,0.044,0.08,0,"***","1 > 0"
"Social Trust (Low=0 vs High=1)","People have equal opportunity","0 vs 1",0.1,0.069,0.13,0,"***","1 > 0"
"Social Trust (Low=0 vs High=1)","Rewarded for effort and skill","0 vs 1",0.091,0.063,0.119,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",0.011,-0.01,0.032,0.319,"","No clear difference"
"Employed Full-Time (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",-0.051,-0.073,-0.029,0,"***","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0.035,0.017,0.053,0,"***","1 > 0"
"Employed Full-Time (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.01,-0.007,0.028,0.25,"","No clear difference"
"Employed Full-Time (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",-0.05,-0.07,-0.03,0,"***","0 > 1"
"Employed Full-Time (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",-0.019,-0.037,0,0.049,"*","No clear difference"
"Employed Full-Time (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",-0.026,-0.058,0.005,0.101,"","No clear difference"
"Employed Full-Time (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.033,-0.062,-0.005,0.022,"*","0 > 1"
"Ideology: Left (0) vs Right (1)","Fairness of income distribution","0 vs 1",0.3,0.25,0.349,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Trust not to cheat system","0 vs 1",-0.268,-0.32,-0.217,0,"***","0 > 1"
"Ideology: Left (0) vs Right (1)","Violating outcomes (Poor)","0 vs 1",0.151,0.107,0.196,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Violating outcomes (Rich)","0 vs 1",0.204,0.161,0.246,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Social benefits not a choice","0 vs 1",-0.239,-0.287,-0.191,0,"***","0 > 1"
"Ideology: Left (0) vs Right (1)","Welfare goes to undeserving","0 vs 1",-0.246,-0.292,-0.201,0,"***","0 > 1"
"Ideology: Left (0) vs Right (1)","People have equal opportunity","0 vs 1",0.193,0.121,0.266,0,"***","1 > 0"
"Ideology: Left (0) vs Right (1)","Rewarded for effort and skill","0 vs 1",-0.033,-0.1,0.033,0.328,"","No clear difference"
"Political Interest: Low (0) vs High (1)","Fairness of income distribution","0 vs 1",-0.009,-0.047,0.029,0.643,"","No clear difference"
"Political Interest: Low (0) vs High (1)","Trust not to cheat system","0 vs 1",0.082,0.043,0.122,0,"***","1 > 0"
"Political Interest: Low (0) vs High (1)","Violating outcomes (Poor)","0 vs 1",-0.06,-0.092,-0.028,0,"***","0 > 1"
"Political Interest: Low (0) vs High (1)","Violating outcomes (Rich)","0 vs 1",-0.028,-0.059,0.004,0.082,".","No clear difference"
"Political Interest: Low (0) vs High (1)","Social benefits not a choice","0 vs 1",0.103,0.068,0.138,0,"***","1 > 0"
"Political Interest: Low (0) vs High (1)","Welfare goes to undeserving","0 vs 1",0.09,0.057,0.123,0,"***","1 > 0"
"Political Interest: Low (0) vs High (1)","People have equal opportunity","0 vs 1",0.152,0.097,0.207,0,"***","1 > 0"
"Political Interest: Low (0) vs High (1)","Rewarded for effort and skill","0 vs 1",0.078,0.027,0.129,0.003,"**","1 > 0"
"Liberal voter (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.041,-0.062,-0.02,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.088,0.067,0.11,0,"***","1 > 0"
"Liberal voter (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",-0.017,-0.035,0.001,0.058,".","No clear difference"
"Liberal voter (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",-0.046,-0.064,-0.028,0,"***","0 > 1"
"Liberal voter (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.054,0.035,0.074,0,"***","1 > 0"
"Liberal voter (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",0.058,0.04,0.076,0,"***","1 > 0"
"Liberal voter (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.032,0.001,0.063,0.043,"*","1 > 0"
"Liberal voter (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",0.075,0.047,0.103,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",0.094,0.071,0.117,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",-0.088,-0.112,-0.064,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0.036,0.017,0.054,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.061,0.042,0.081,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",-0.081,-0.103,-0.059,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",-0.08,-0.1,-0.06,0,"***","0 > 1"
"Conservative voter (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.062,0.028,0.097,0,"***","1 > 0"
"Conservative voter (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.03,-0.062,0.001,0.061,".","No clear difference"
